anchor,ceterisParibus,counterfactualAnyChange,featureStatistics,followupWhyAreTheseFeaturesConsidered,followupWhyFeatureImportancesChange,followupWhyThisFeatureImportant,globalPdp,least3Features,modelConfidence,shapAllFeatures,top3Features,id,final_irt_score_mean,study_group
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,participant_0091,-0.0657776093482971,interactive
1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,participant_0092,0.4210717695578932,interactive
3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,participant_0093,-0.3024082753062248,interactive
1.0,7.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,1.0,participant_0095,0.865894605666399,interactive
0.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,participant_0096,0.1652318683266639,interactive
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,participant_0097,0.3623134926799685,interactive
0.0,20.0,0.0,20.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,participant_0098,-0.3377061145380139,interactive
0.0,7.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,4.0,participant_0099,-0.3634882177785039,interactive
3.0,20.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0,participant_0100,-0.3547809008974582,interactive
6.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,10.0,11.0,participant_0101,0.3734991287719458,interactive
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5.0,5.0,participant_0102,-0.6001602955162525,interactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,participant_0103,-0.11717009736225,interactive
0.0,20.0,0.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,participant_0104,-0.8171344954706729,interactive
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,participant_0105,0.1376756898127496,interactive
2.0,17.0,4.0,20.0,1.0,0.0,1.0,19.0,1.0,1.0,2.0,2.0,participant_0106,0.8874450880289078,interactive
0.0,70.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0,9.0,participant_0107,0.3424854407832026,interactive
1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,participant_0108,0.3851440128311514,interactive
3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,6.0,participant_0109,-0.1337855725572444,interactive
0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,participant_0110,-0.3231569348275661,interactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,participant_0111,0.4148360916040838,interactive
1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,participant_0112,0.0963572044111788,interactive
2.0,2.0,2.0,6.0,2.0,0.0,3.0,2.0,0.0,4.0,0.0,3.0,participant_0113,-0.8286121362447738,interactive
4.0,5.0,1.0,2.0,0.0,0.0,2.0,0.0,6.0,5.0,4.0,8.0,participant_0114,0.62468291901052,interactive
4.0,98.0,2.0,6.0,1.0,2.0,1.0,13.0,9.0,10.0,6.0,9.0,participant_0115,0.6664427429437637,interactive
2.0,9.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,participant_0116,-0.3431634272634983,interactive
2.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,10.0,1.0,2.0,participant_0118,0.126459223292768,interactive
