anchor,ceterisParibus,counterfactualAnyChange,featureStatistics,followupWhyAreTheseFeaturesConsidered,followupWhyFeatureImportancesChange,followupWhyThisFeatureImportant,globalPdp,least3Features,modelConfidence,shapAllFeatures,top3Features,id,final_irt_score_mean,study_group
2.0,29.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,participant_0051,0.4150209828466177,interactive
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,participant_0052,-0.3651268964912742,interactive
6.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,8.0,3.0,2.0,participant_0053,-0.0681519880890846,interactive
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,participant_0054,-0.3428198441024869,interactive
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,participant_0055,0.1148237052280455,interactive
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,participant_0056,0.1056138706672936,interactive
0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,participant_0057,0.8801263795793056,interactive
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,participant_0058,0.6159249752759933,interactive
0.0,21.0,0.0,14.0,0.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,participant_0059,-1.2203995037078856,interactive
3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,participant_0060,-0.1314171739295125,interactive
7.0,16.0,9.0,20.0,0.0,0.0,0.0,26.0,4.0,7.0,5.0,6.0,participant_0061,0.1402157124876976,interactive
0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,participant_0062,-0.33027450656984,interactive
1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,participant_0063,0.1091311880666762,interactive
1.0,6.0,4.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,participant_0064,-0.5755862020421774,interactive
2.0,4.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,3.0,participant_0065,-0.3502897886186838,interactive
1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,participant_0066,0.6688643890619278,interactive
2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,participant_0069,0.3489273302548099,interactive
0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,participant_0070,-0.3521984182554297,interactive
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,0.0,10.0,participant_0071,0.1030972151178866,interactive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,participant_0072,-0.1301571714133024,interactive
1.0,2.0,1.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,1.0,participant_0073,0.5464908757805824,interactive
2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,participant_0074,0.1542673911713063,interactive
1.0,12.0,1.0,7.0,0.0,0.0,1.0,7.0,6.0,2.0,8.0,8.0,participant_0075,-0.1080676288902759,interactive
1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,participant_0076,-0.5569975530076772,interactive
