question,from_autosuggestion,count
anchor,False,178
ceterisParibus,False,706
counterfactualAnyChange,False,169
featureStatistics,False,218
followupWhyAreTheseFeaturesConsidered,False,13
followupWhyFeatureImportancesChange,False,19
followupWhyThisFeatureImportant,False,40
globalPdp,False,316
least3Features,False,177
modelConfidence,False,193
shapAllFeatures,False,203
top3Features,False,291
